taxa
detritus
phytoplankton
Calanus sp.
other copepods
ctenophores
chaetognatha (i.e. arrow worms)
jellyfish
euphasiids
Crangon sp.
mysids
pandalids
other decapods
gammarids
hyperiids
caprellids
isopods
pteropods
cumaceans
mantis shrimps
tunicates
porifera
cancer crabs
other crabs
lobster
hydroids
corals and anemones
polychaetes
other worms
starfish
brittle stars
sea cucumbers
scallops
clams and mussels
snails
urchins
sand lance
Atlantic herring
alewife
Atlantic mackerel
butterfish
loligo
illex
pollock
silver hake
spotted hake
white hake
red hake
Atlantic cod
haddock
sea raven
longhorn sculpin
little skate
winter skate
thorny skate
ocean pout
cusk
wolfish
cunner
sea robins
redfish
yellowtail flounder
windowpane flounder
summer flounder
witch flounder
four-spot flounder
winter flounder
American plaice
American halibut
smooth dogfish
spiny dogfish
goosefish
weakfish
bluefish
baleen whales
toothed whales and porpoises
seals
migratory scombrids
migratory sharks
migratory billfish
birds
humans
