lakeid,year4,daynum,sampledate,depth,rep,sta,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,po4,sio2uf,drsif,brsif,brsiuf,tpm,flagdic,flagtic,flagdoc,flagtoc,flagno3no2,flagno2,flagnh4,flagtotnf,flagtotnuf,flagtotpf,flagtotpuf,flagpo4,flagsio2uf,flagdrsif,flagbrsif,flagbrsiuf,flagtpm
"LR",1996,170,1996-06-18,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,170,1996-06-18,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,170,1996-06-18,2.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,170,1996-06-18,4.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,170,1996-06-18,4.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,170,1996-06-18,4.000,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,170,1996-06-18,6.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,170,1996-06-18,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,170,1996-06-18,8.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,170,1996-06-18,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,183,1996-07-01,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,183,1996-07-01,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,183,1996-07-01,4.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,183,1996-07-01,4.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,183,1996-07-01,6.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,183,1996-07-01,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,183,1996-07-01,8.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,183,1996-07-01,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,197,1996-07-15,0.000,1,1,0.68,0.79,3.58,3.52,1.0,,17,157,268,3.0,16.0,,,30,41,41,,,,,,,,,,,,,,,,,"E",
"LR",1996,197,1996-07-15,0.000,1,2,0.78,0.89,3.75,3.79,1.0,,24,181,140,2.0,7.0,,,27,15,50,,,,,,,,,,,,,,,,,"E",
"LR",1996,197,1996-07-15,4.000,1,1,1.03,1.22,3.51,3.42,2.0,,98,154,173,2.0,9.0,,,28,23,41,,,,,,,,,,,,,,,,,,
"LR",1996,197,1996-07-15,4.000,1,2,0.88,0.98,4.14,3.90,3.0,,18,157,181,4.0,9.0,,,32,32,50,,,,,,,,,,,,,,,,,,
"LR",1996,197,1996-07-15,6.000,1,1,2.72,1.69,3.65,3.01,4.0,,58,222,143,6.0,10.0,,,23,15,58,,,,,,,,,,,"L",,,,,"L","L",
"LR",1996,197,1996-07-15,6.000,1,2,3.27,5.50,6.13,8.10,7.0,,175,418,494,14.0,65.0,,,77,76,94,,,,,,,,,,,,,,,,,,
"LR",1996,197,1996-07-15,6.000,2,1,2.39,1.76,3.03,2.77,2.0,,46,83,135,1.0,12.0,,,25,28,32,,,,,,,,,,,"L",,,,,"L","L",
"LR",1996,197,1996-07-15,9.000,1,1,6.89,7.94,3.59,5.59,7.5,,547,812,,21.0,80.0,,,203,295,374,,,,,,"E",,"E",,,,,,,,,,
"LR",1996,211,1996-07-29,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,211,1996-07-29,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,211,1996-07-29,4.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,211,1996-07-29,4.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,211,1996-07-29,6.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,211,1996-07-29,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,211,1996-07-29,6.000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,211,1996-07-29,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,225,1996-08-12,0.000,1,1,0.59,0.72,3.45,3.43,0.0,,4,225,269,1.0,6.0,,,18,27,27,,,,,,,,,"E",,"E",,,,,,,
"LR",1996,225,1996-08-12,0.000,1,2,0.69,0.78,3.69,3.63,5.0,,25,182,237,0.0,5.0,,,25,35,62,,,,,,,,"L",,,,,,,,,,
"LR",1996,225,1996-08-12,0.000,2,2,0.68,0.79,3.65,3.74,2.0,,45,237,279,0.0,8.0,,,25,18,35,,,,,,,,"L",,,,,,,,,,
"LR",1996,225,1996-08-12,4.000,1,1,0.67,0.69,3.55,3.63,1.0,,16,229,391,7.0,13.0,,,15,27,27,,,,,,,,,,,,,,,,,,
"LR",1996,225,1996-08-12,4.000,1,2,0.93,0.90,3.69,3.76,1.0,,4,262,242,3.0,7.0,,,23,35,44,,,,,,,,,,,,,,,"E",,,
"LR",1996,225,1996-08-12,6.000,1,1,1.81,2.17,2.90,3.29,6.0,,36,229,245,11.0,16.0,,,19,35,53,,,,,,,,,,,,,,,,,,
"LR",1996,225,1996-08-12,6.000,1,2,4.10,5.10,6.12,6.90,4.0,,256,518,734,22.0,52.0,,,44,142,163,,,,,,,,,,,,,,,,,,
"LR",1996,225,1996-08-12,9.000,1,1,8.20,9.35,6.27,6.14,3.0,,815,,,40.0,137.0,,,369,328,354,,,,,,"E",,"E",,,,,,,,,,
"LR",1996,239,1996-08-26,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,239,1996-08-26,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,239,1996-08-26,0.000,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,239,1996-08-26,4.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,239,1996-08-26,4.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,239,1996-08-26,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,239,1996-08-26,7.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,239,1996-08-26,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,253,1996-09-09,0.000,1,1,0.43,0.44,3.63,3.14,4.0,,43,183,199,7.0,9.0,,,22,32,41,,,"J",,"J",,,,,,,,,,,,,
"LR",1996,253,1996-09-09,0.000,1,2,0.67,0.65,3.74,3.46,0.0,,14,,313,,12.0,,,16,41,50,,"J","J","J","J",,,,,,,,,,,,"E",
"LR",1996,253,1996-09-09,4.000,1,1,0.44,0.63,3.32,3.42,4.0,,25,190,201,7.0,11.0,,,22,32,41,,,,,,,,,,,,,,,"E",,"E",
"LR",1996,253,1996-09-09,4.000,1,2,0.55,0.67,3.70,3.62,2.0,,9,206,230,6.0,10.0,,,15,24,59,,,,,,,,"L",,,,,,,,,,
"LR",1996,253,1996-09-09,4.000,2,2,0.68,0.65,3.64,3.73,3.0,,63,230,253,7.0,10.0,,,18,24,68,,"J","J","J","J",,,"L",,,,,,,,,,
"LR",1996,253,1996-09-09,6.000,1,1,1.08,0.97,3.44,3.33,6.0,,86,255,210,18.0,18.0,,,14,32,32,,,,,,,,,,,,,,,,,,
"LR",1996,253,1996-09-09,6.000,1,2,1.51,3.00,7.72,7.51,2.0,,17,684,1798,39.0,73.0,,,63,103,156,,"J",,"J",,,,,"E",,,,,,,,,
"LR",1996,253,1996-09-09,9.000,1,1,7.18,6.22,6.61,6.09,5.0,,1173,1999,3850,87.0,108.0,,,547,502,519,,,,,,,,,,,"E",,,,,,,
"LR",1996,267,1996-09-23,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,267,1996-09-23,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,267,1996-09-23,4.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,267,1996-09-23,4.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,267,1996-09-23,6.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,267,1996-09-23,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,267,1996-09-23,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,267,1996-09-23,9.000,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,281,1996-10-07,0.000,1,1,0.70,1.03,3.19,3.42,3.0,,8,188,223,6.0,8.0,,,,7,69,,,,,,,,,"E",,"E",,,,,,,
"LR",1996,281,1996-10-07,0.000,1,2,0.68,0.95,3.66,3.68,0.0,,8,121,177,14.0,7.0,,,4,32,65,,,,,,,,,,,,,,,,,,
"LR",1996,281,1996-10-07,4.000,1,1,0.74,0.96,3.10,3.28,0.0,,11,196,230,2.0,8.0,,,,32,40,,,,,,,,,"E",,"E",,,,,"L","L",
"LR",1996,281,1996-10-07,4.000,1,2,0.64,1.03,3.58,3.65,0.0,,9,223,205,4.0,17.0,,,6,48,73,,,,,,,,,"E","E","E","E",,,,,,
"LR",1996,281,1996-10-07,4.000,2,1,0.76,0.92,3.24,3.24,0.0,,17,158,,2.0,8.0,,,17,23,57,,,,,,,,,,,,,,,,"L","L",
"LR",1996,281,1996-10-07,6.000,1,1,0.94,1.10,3.14,3.38,0.0,,11,179,201,6.0,12.0,,,,98,65,,,,,,,,,,,,,,,,,,
"LR",1996,281,1996-10-07,6.000,1,2,0.83,0.95,4.01,3.84,0.0,,276,199,247,3.0,10.0,,,5,81,77,,,,,,,,,,,,,,,,,,
"LR",1996,281,1996-10-07,9.000,1,1,10.17,14.50,9.08,5.66,0.0,,1581,1983,2519,83.0,118.0,,,672,620,670,,,,,,,,,,,,"E",,,,,"E",
"LR",1996,295,1996-10-21,0.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,295,1996-10-21,0.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,295,1996-10-21,4.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,295,1996-10-21,4.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,295,1996-10-21,6.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,295,1996-10-21,6.000,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,295,1996-10-21,6.000,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,295,1996-10-21,9.000,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LR",1996,313,1996-11-08,0.000,1,1,0.76,0.77,3.52,3.47,13.0,,49,105,161,5.0,13.0,,,23,58,95,,,,,,,,,,,,,,,,,"E",
"LR",1996,313,1996-11-08,0.000,1,2,0.63,0.78,3.84,3.94,1.0,,16,139,187,3.0,8.0,,,19,66,83,,,,,,,,,,"E",,"E",,,,,,
"LR",1996,313,1996-11-08,4.000,1,1,0.65,0.77,3.30,3.59,1.0,,16,113,156,3.0,12.0,,,22,58,99,,,,,,,,,,"E",,"E",,,,,,
"LR",1996,313,1996-11-08,4.000,1,2,0.71,0.79,4.00,4.02,1.0,,12,131,209,3.0,8.0,,,19,66,116,,,,,,,,,,,,,,,,,,
"LR",1996,313,1996-11-08,6.000,1,1,0.66,0.79,3.34,3.46,1.0,,18,105,165,3.0,14.0,,,22,83,120,,,,,,,,,,,,,,,,,,
"LR",1996,313,1996-11-08,6.000,1,2,0.65,0.80,3.88,4.11,0.0,,8,137,191,2.0,8.0,,,18,58,95,,,,,,,,,,,,,,,,,,
"LR",1996,313,1996-11-08,6.000,2,2,0.64,0.76,3.82,4.00,1.0,,16,117,215,1.0,8.0,,,18,66,91,,,,,,,,,,,,,,,,,,
"LR",1996,313,1996-11-08,9.000,1,1,0.65,0.78,3.34,3.55,1.0,,6,113,159,4.0,14.0,,,23,58,75,,,,,,"E",,"E",,,,,,,"E",,,
"LR",1997,29,1997-01-29,0.000,1,1,1.92,2.11,3.22,3.20,5.0,,92,311,312,7.0,12.0,,,39,19,27,,,,,,,,,,,,,,,,,"E",
"LR",1997,29,1997-01-29,0.000,1,2,1.11,1.28,3.76,3.98,8.0,,145,211,249,1.0,3.0,,,23,10,96,,,,,,,,,,,,,,,"E",,,
"LR",1997,29,1997-01-29,4.000,1,1,2.29,,2.99,,7.0,,120,287,255,5.0,7.0,,,90,53,61,,,"C",,"C",,,,,,,,,,"L",,,
"LR",1997,29,1997-01-29,4.000,1,2,2.94,2.93,3.39,3.37,21.0,,160,325,346,2.0,4.0,,,106,87,78,,,,,,,,,,,,,,,,,,
"LR",1997,29,1997-01-29,4.000,2,1,2.25,,3.00,,10.0,,114,267,264,4.0,7.0,,,70,53,66,,,"D",,"D",,,,,,,,,,"L",,,
"LR",1997,29,1997-01-29,6.000,1,2,3.07,3.15,3.45,3.38,13.0,,140,334,334,1.0,3.0,,,117,96,108,,,,,,,,,,"E",,"E",,,,,"E",
"LR",1997,29,1997-01-29,9.000,1,1,3.90,5.13,3.40,4.02,2.0,,289,497,588,14.0,33.0,,,197,198,198,,,,,,"E",,,,,,,,,,,,
"LR",1997,56,1997-02-25,0.000,1,1,1.85,1.96,3.10,3.08,16.0,,100,263,300,1.0,12.0,,,41,51,111,,,,,,,,,,,"L","L",,,"E","L",,
"LR",1997,56,1997-02-25,0.000,1,2,1.59,,3.14,,13.0,,84,222,241,1.0,4.0,,,42,43,60,,,"D",,"D",,,,,,,,,,,,,
"LR",1997,56,1997-02-25,0.000,2,1,1.87,2.00,3.20,3.26,16.0,,91,282,293,5.0,16.0,,,42,43,103,,,,,,"E",,"E",,,"L","L",,,,"L",,
"LR",1997,56,1997-02-25,4.000,1,1,2.23,3.39,2.88,2.83,13.0,,158,295,293,0.0,3.0,,,80,94,98,,,,,,,,,,"E",,"E",,,,,"E",
"LR",1997,56,1997-02-25,4.000,1,2,3.02,3.21,3.04,3.16,17.0,,258,418,400,0.0,4.0,,,162,163,180,,,,,,,,,,,,,,,,,,
"LR",1997,56,1997-02-25,6.000,1,2,3.21,3.31,3.09,3.21,16.0,,283,455,479,0.0,5.0,,,173,171,176,,,,,,,,,,"E",,"E",,,,,"E",
"LR",1997,56,1997-02-25,9.000,1,1,3.11,5.18,3.26,3.68,5.0,,376,478,732,14.0,64.0,,,184,206,317,,,,,,,,,,,,,,,,,,
"LR",1997,132,1997-05-12,0.000,1,1,0.68,0.89,2.88,2.94,3.0,,45,146,215,0.0,6.0,,,5,3,11,,,,,,,,,,,,,,,,,,
"LR",1997,132,1997-05-12,0.000,1,2,0.95,1.05,3.32,3.17,29.0,,39,156,330,0.0,5.0,,,68,66,66,,,,,,,,,,,,,,,,,,
"LR",1997,132,1997-05-12,4.000,1,1,0.71,0.90,2.96,2.97,0.0,,39,133,197,3.0,11.0,,,2,3,15,,,,,,,,"L","L","L",,"L",,,,"L","L",
"LR",1997,132,1997-05-12,4.000,1,2,0.99,1.11,3.13,3.11,28.0,,52,206,266,0.0,3.0,,,69,66,66,,,,,,"E",,"E",,,,,,,,,,
"LR",1997,132,1997-05-12,4.000,2,1,0.73,0.91,3.07,2.99,2.0,,54,105,137,0.0,6.0,,,5,11,26,,,,,,,,"L","L","L",,"L",,,,"L","L",
"LR",1997,132,1997-05-12,6.000,1,2,2.45,2.64,3.03,3.10,32.0,,87,192,243,0.0,5.0,,,78,66,86,,,,,,,,,,,,,,,,,,
"LR",1997,132,1997-05-12,9.000,1,1,4.43,4.73,3.35,3.32,3.0,,328,542,588,5.0,18.0,,,172,150,158,,,,,,,,,,"E",,"E",,,,,"E",
"LR",1997,160,1997-06-09,0.000,1,1,0.75,0.81,3.24,3.49,2.0,,9,61,84,1.0,4.0,,,14,15,25,,,,,,,,,,,,,,,,,,
"LR",1997,160,1997-06-09,0.000,1,2,0.72,0.82,3.52,3.59,5.0,,15,165,183,4.0,6.0,,,37,156,156,,,,,,,,,,"E",,"E",,,"E",,"E",
"LR",1997,160,1997-06-09,2.000,1,1,0.88,0.91,3.33,3.41,3.0,,59,69,109,2.0,10.0,,,17,25,25,,,,,,,,,,,,,,,,,,
"LR",1997,160,1997-06-09,4.000,1,2,0.57,0.68,3.32,3.36,4.0,,15,148,189,4.0,12.0,,,39,156,171,,,,,,,,,,,,,,,,,,
"LR",1997,160,1997-06-09,6.000,1,1,2.44,2.91,3.80,3.38,4.0,,44,106,346,8.0,39.0,,,53,89,107,,,,,,,,,,,,,,,,,,
"LR",1997,160,1997-06-09,6.000,1,2,1.29,1.40,4.31,3.87,3.0,,52,191,309,6.0,25.0,,,45,202,194,,,,,,,,"L",,,,,,,,"L",,
"LR",1997,160,1997-06-09,6.000,2,2,1.26,1.37,4.34,4.05,2.0,,34,189,352,7.0,24.0,,,46,156,225,,,,,,,,"L",,,,,,,,"L",,
"LR",1997,160,1997-06-09,9.000,1,1,5.32,6.33,3.51,3.98,3.0,,202,320,638,9.0,56.0,,,204,199,208,,,,,,"E",,,"E",,"E",,,,,,,
"LR",1997,188,1997-07-07,0.000,1,1,0.87,0.92,3.83,3.92,0.0,,21,106,185,3.0,7.0,,,30,46,37,,,,,,"E",,"E",,,,,,,,,,
"LR",1997,188,1997-07-07,0.000,1,2,0.77,0.89,3.86,3.83,0.0,,58,115,180,2.0,8.0,,,18,29,55,,,,,,,,,,,,,,,,,,
"LR",1997,188,1997-07-07,2.000,1,1,0.88,0.91,3.66,3.65,0.0,,14,152,145,3.0,8.0,,,31,37,55,,,,,,,,,,,,,,,,,,
"LR",1997,188,1997-07-07,4.000,1,2,0.86,1.03,3.84,3.82,0.0,,28,134,173,1.0,8.0,,,18,20,3,,,,,,,,,,,,,,,,,,
"LR",1997,188,1997-07-07,6.000,1,1,1.85,2.08,3.74,3.50,0.0,,25,134,260,6.0,20.0,,,16,63,29,,,,,,,,,,,,,,,,,,
"LR",1997,188,1997-07-07,6.000,1,2,,4.02,,6.25,0.0,,85,446,624,29.0,52.0,,,210,115,141,,"D",,"D",,,,,,,,,,,,,,
"LR",1997,188,1997-07-07,8.000,1,1,4.79,6.17,2.82,3.99,0.0,,22,288,540,22.0,55.0,,,190,184,219,,,,,,,,,,,,,,,,,,
"LR",1997,188,1997-07-07,9.000,1,1,6.38,8.03,4.24,4.53,0.0,,351,512,1156,8.0,103.0,,,281,262,292,,,,,,,,,,"E",,"E",,,"E",,"E",
"LR",1997,216,1997-08-04,0.000,1,1,0.83,1.04,3.53,3.57,0.0,,116,81,108,4.0,6.0,,,22,20,63,,,,,,,,,,,,,,,,,,
"LR",1997,216,1997-08-04,0.000,1,2,0.89,1.06,3.68,3.77,0.0,,13,113,147,0.0,6.0,,,29,29,42,,,,,,,,,,"E",,"E",,,,,"E",
"LR",1997,216,1997-08-04,2.000,1,1,0.82,1.11,3.44,3.43,0.0,,14,110,192,0.0,5.0,,,23,98,29,,,,,,,,"L","L","L",,,,,"L","L","L",
"LR",1997,216,1997-08-04,2.000,1,2,0.93,1.14,3.63,3.74,0.0,,23,127,122,0.0,6.0,,,31,55,37,,,,,,,,,,,,,,,"E",,,
"LR",1997,216,1997-08-04,2.000,2,1,0.86,1.05,3.39,3.44,0.0,,21,146,117,1.0,5.0,,,28,29,37,,,,,,,,"L","L","L",,,,,"L","L","L",
"LR",1997,216,1997-08-04,6.000,1,1,1.96,2.43,3.48,3.30,0.0,,43,127,184,7.0,19.0,,,74,72,77,,,,,,,,,,"E",,"E",,,,,"E",
"LR",1997,216,1997-08-04,6.000,1,2,2.64,6.71,4.23,6.43,0.0,,89,1443,1725,132.0,181.0,,,128,495,495,,,,,,,,,,,,,,,,,,
"LR",1997,216,1997-08-04,9.000,1,1,4.97,7.68,3.77,4.95,0.0,,831,745,1245,16.0,118.0,,,340,305,305,,,,,,,,,,,,,,,,,,
"LR",1997,245,1997-09-02,0.000,1,1,0.79,0.90,3.33,3.32,0.0,,41,109,118,3.0,6.0,,,37,0,9,,,,,,,,,,,,,,,,,,
"LR",1997,245,1997-09-02,0.000,1,2,0.78,0.92,3.68,3.65,0.0,,11,114,144,3.0,3.0,,,21,0,0,,,,,,,,"L",,,,"L",,,"L",,,
"LR",1997,245,1997-09-02,0.000,2,2,0.78,0.92,3.76,3.70,0.0,,7,131,140,3.0,8.0,,,26,0,0,,,,,,,,"L",,,,"L",,,"L",,,
"LR",1997,245,1997-09-02,4.000,1,1,1.01,1.09,3.28,3.28,0.0,,88,162,179,3.0,10.0,,,56,0,18,,,,,,,,,,,,,,,,,,
"LR",1997,245,1997-09-02,4.000,1,2,0.91,1.17,3.74,3.74,2.0,,29,140,162,3.0,10.0,,,25,0,0,,,,,,,,,,"E",,"E",,,,,"E",
"LR",1997,245,1997-09-02,6.000,1,1,3.12,3.12,3.06,3.07,0.0,,8,101,180,8.0,16.0,,,116,55,64,,,,,,,,,,"E",,"E",,,,,"E",
"LR",1997,245,1997-09-02,6.000,1,2,2.79,3.33,4.21,4.53,0.0,,7,310,337,28.0,33.0,,,131,100,110,,,,,,,,,,,,,,,,,,
"LR",1997,245,1997-09-02,9.000,1,1,7.98,9.73,5.17,5.55,0.0,,720,1361,1839,86.0,158.0,,,474,374,419,,,,,,,,,,,,,,,"E",,,
"LR",1997,272,1997-09-29,0.000,1,1,0.87,1.09,3.36,3.37,0.0,,12,185,190,6.0,10.0,,,21,439,55,,,,,,,,,,,,,,,,,,
"LR",1997,272,1997-09-29,0.000,1,2,1.06,1.18,4.03,4.04,0.0,,18,237,342,11.0,26.0,,,41,46,55,,,,,,,,,,"E",,"E",,,,,"E",
"LR",1997,272,1997-09-29,2.000,1,2,1.07,1.15,4.13,4.04,0.0,,15,275,223,12.0,17.0,,,39,55,64,,,,,,,,,,,,,,,,,,
"LR",1997,272,1997-09-29,4.000,1,1,0.90,1.06,3.30,3.34,0.0,,25,143,181,5.0,9.0,,,24,348,458,,,,,,,,,,,,,,,,,,
"LR",1997,272,1997-09-29,6.000,1,1,1.14,1.42,3.34,3.42,0.0,,30,176,178,92.0,11.0,,,25,18,439,,,,,,"E",,"E",,"E",,"E",,,,,,
"LR",1997,272,1997-09-29,6.000,1,2,0.83,1.16,4.26,4.02,0.0,,15,247,219,11.0,17.0,,,39,46,82,,,,,,,,,"L","L","L",,,,"E","L","L",
"LR",1997,272,1997-09-29,6.000,2,2,0.83,1.24,4.01,4.06,0.0,,15,181,299,6.0,20.0,,,39,28,64,,,,,,,,,"L","L","L",,,,,"L","L",
"LR",1997,272,1997-09-29,9.000,1,1,11.68,11.94,6.32,5.98,1.0,,1170,2026,2069,153.0,162.0,,,629,570,597,,,,,,,,,,,,,,,,,,
"LR",1997,300,1997-10-27,0.000,1,1,1.17,,3.32,,3.0,,49,219,244,6.0,13.0,,,60,74,101,,,"D",,"D","E",,"E",,,,,,,,,,
"LR",1997,300,1997-10-27,0.000,1,2,0.75,0.95,4.06,4.10,0.0,,15,223,273,4.0,13.0,,,51,46,55,,,,,,,,,,,,,,,,,,
"LR",1997,300,1997-10-27,2.000,1,2,0.79,1.00,4.27,4.24,0.0,,20,268,290,5.0,14.0,,,55,55,74,,,,,,,,,,"E",,"E",,,,,"E",
"LR",1997,300,1997-10-27,4.000,1,1,1.18,1.29,3.31,3.38,3.0,,49,215,92,6.0,13.0,,,61,64,83,,,,,,,,,,,,,,,,,,
"LR",1997,300,1997-10-27,6.000,1,2,0.95,0.99,4.32,4.21,0.0,,12,224,280,6.0,14.0,,,54,83,105,,,,,,,,,,"E",,"E",,,,,"E",
"LR",1997,300,1997-10-27,9.000,1,1,1.22,1.28,3.29,3.34,6.0,,276,198,241,6.0,14.0,,,60,64,165,,,,,,,,"L",,"L",,,,,"E","L","L",
"LR",1997,300,1997-10-27,9.000,2,1,1.21,1.27,3.42,3.42,7.0,,63,179,192,6.0,12.0,,,60,129,74,,,,,,,,"L",,"L",,,,,,"L","L",
"LR",1998,21,1998-01-21,0.000,1,1,1.50,1.75,4.07,4.10,26.0,,83,323,438,10.0,23.0,,,38,22,155,,,,,,,,,,,,,,,"E",,,
"LR",1998,21,1998-01-21,0.000,1,2,0.88,0.88,5.07,1.47,7.0,,23,284,486,2.0,21.0,,,44,134,85,,,"A",,"A",,,,,"E",,"E",,,"E",,"E",
"LR",1998,21,1998-01-21,4.000,1,1,1.64,1.63,3.08,2.96,30.0,,127,328,345,9.0,17.0,,,66,58,49,,,,,,,,"E",,,,,,,,,,
"LR",1998,21,1998-01-21,4.000,1,2,1.68,1.92,3.70,3.57,12.0,,90,279,350,5.0,15.0,,,106,111,173,,,,,,,,,,,,,,,,,,
"LR",1998,21,1998-01-21,4.000,2,1,1.58,1.62,2.98,2.88,35.0,,134,345,363,6.0,13.0,,,68,93,102,,,,,,,,,,,,,,,,,,
"LR",1998,21,1998-01-21,6.000,1,2,2.34,2.16,3.63,3.58,16.0,,243,508,486,14.0,23.0,,,199,235,270,,,,,,,,,,,,,,,,,,
"LR",1998,21,1998-01-21,9.000,1,1,1.86,2.44,3.14,3.04,30.0,,312,482,495,22.0,40.0,,,233,199,261,,,,,,,,,,,,,,,,,,
"LR",1998,56,1998-02-25,0.000,1,1,1.46,1.58,3.62,3.71,154.0,,105,439,426,19.0,23.0,,,33,43,43,,,,,,,,,,,,,,,,,,
"LR",1998,56,1998-02-25,0.000,1,2,1.06,1.24,6.12,6.34,346.0,,163,814,827,19.0,29.0,,,62,70,34,,,,,,,,,,,,,,,,,,
"LR",1998,56,1998-02-25,4.000,1,1,2.60,2.84,3.08,3.26,32.0,,143,314,342,18.0,27.0,,,62,52,123,,,,,,,,,"E",,"E",,,,,"E",,
"LR",1998,56,1998-02-25,4.000,1,2,3.10,2.90,3.68,3.92,14.0,,204,338,422,19.0,37.0,,,168,185,140,,,,,,,,,,,,,,,,,,
"LR",1998,56,1998-02-25,6.000,1,2,3.47,,3.74,,9.0,,309,452,510,25.0,41.0,,,217,220,238,,,"D",,"D",,,,,,,,,,,,,
"LR",1998,56,1998-02-25,9.000,1,1,4.44,7.07,3.90,4.78,9.0,,751,1426,1077,280.0,212.0,,,712,644,538,,,,,,,,,"N",,"N",,,,,,,
"LR",1998,56,1998-02-25,9.000,2,1,,,,,10.0,,663,1572,1587,290.0,302.0,,,725,438,429,,"D","D","D","D",,,,,,,,,,,,,
"LR",1998,76,1998-03-17,0.000,1,1,1.50,1.91,3.74,3.95,110.0,,117,416,461,5.0,11.0,,,46,0,0,,,,,,,,,,,,,,,,,,
"LR",1998,76,1998-03-17,0.000,1,2,1.19,1.60,4.19,4.32,34.0,,10,286,389,3.0,11.0,,,87,20,20,,,,,,,,,,,,,,,"E",,,
