lakeid,year4,daynum,sampledate,depth,rep,sta,cl,so4,ca,mg,na,k,fe,mn,flagcl,flagso4,flagca,flagmg,flagna,flagk,flagfe,flagmn
"LR",1999,60,1999-03-01,6.00,1,2,0.32,1.17,1.28,0.33,0.28,0.76,0.50,0.02,,,,,,,,
"LR",1999,60,1999-03-01,4.00,2,2,0.17,0.66,1.11,0.31,0.26,0.72,0.21,0.01,,,,,,,,
"LR",1999,81,1999-03-22,0.00,1,1,,,,,,,0.03,0.02,,,,,,,,
"LR",1999,81,1999-03-22,4.00,1,1,,,,,,,0.06,0.03,,,,,,,,
"LR",1999,81,1999-03-22,9.00,1,1,,,,,,,2.22,0.06,,,,,,,,
"LR",1999,81,1999-03-22,0.00,1,2,,,,,,,0.00,0.01,,,,,,,"E","E"
"LR",1999,81,1999-03-22,4.00,1,2,,,,,,,0.15,0.02,,,,,,,,
"LR",1999,81,1999-03-22,6.00,1,2,,,,,,,0.38,0.02,,,,,,,,
"LR",1999,81,1999-03-22,4.00,2,1,,,,,,,0.06,0.03,,,,,,,,
"LR",1999,131,1999-05-11,0.00,1,1,0.24,1.91,1.05,0.28,0.15,0.73,0.01,0.01,,,,,,,,
"LR",1999,131,1999-05-11,4.00,1,1,0.29,2.06,1.13,0.28,0.29,0.73,0.00,0.00,,,,,,,,
"LR",1999,131,1999-05-11,6.00,1,1,0.24,2.00,1.08,0.30,0.16,0.75,0.03,0.04,,,,,,,,
"LR",1999,131,1999-05-11,9.00,1,1,0.31,1.59,1.28,0.32,0.15,0.83,0.78,0.07,,,,,,,,
"LR",1999,131,1999-05-11,0.00,1,2,0.34,1.30,0.91,0.25,0.20,0.60,0.01,0.00,,,,,,,,
"LR",1999,131,1999-05-11,4.00,1,2,0.42,1.43,0.97,0.25,0.21,0.60,0.00,0.01,,,,,,,,
"LR",1999,131,1999-05-11,6.00,1,2,0.38,1.19,1.21,0.31,0.37,0.74,0.13,0.03,,,,,,,,
"LR",1999,131,1999-05-11,0.00,2,1,0.27,2.01,1.06,0.29,0.15,0.73,0.02,0.02,,,,,,,,
"LR",1999,158,1999-06-07,0.00,1,1,,,,,,,0.00,0.01,,,,,,,,
"LR",1999,158,1999-06-07,4.00,1,1,,,,,,,0.00,0.01,,,,,,,,
"LR",1999,158,1999-06-07,6.00,1,1,,,,,,,0.02,0.04,,,,,,,,
"LR",1999,158,1999-06-07,9.00,1,1,,,,,,,1.00,0.08,,,,,,,,
"LR",1999,158,1999-06-07,0.00,1,2,,,,,,,0.00,0.00,,,,,,,"E","E"
"LR",1999,158,1999-06-07,4.00,1,2,,,,,,,0.00,0.01,,,,,,,,
"LR",1999,158,1999-06-07,6.00,1,2,,,,,,,0.51,0.03,,,,,,,,
"LR",1999,158,1999-06-07,4.00,2,2,,,,,,,0.00,0.00,,,,,,,,
"LR",1999,172,1999-06-21,0.00,1,2,,,,,,,0.03,0.00,,,,,,,,
"LR",1999,172,1999-06-21,4.00,1,2,,,,,,,0.03,0.00,,,,,,,"E","E"
"LR",1999,172,1999-06-21,6.00,1,2,,,,,,,2.27,0.19,,,,,,,,
"LR",1999,172,1999-06-21,0.00,2,2,,,,,,,0.03,0.01,,,,,,,,
"LR",1999,188,1999-07-07,0.00,1,1,,,,,,,0.00,0.00,,,,,,,,
"LR",1999,188,1999-07-07,2.00,1,1,,,,,,,0.01,0.00,,,,,,,,
"LR",1999,188,1999-07-07,6.00,1,1,,,,,,,0.03,0.04,,,,,,,,
"LR",1999,188,1999-07-07,9.00,1,1,,,,,,,1.69,0.11,,,,,,,,
"LR",1999,214,1999-08-02,0.00,1,1,,,,,,,0.02,0.02,,,,,,,"E","E"
"LR",1999,214,1999-08-02,2.00,1,1,,,,,,,0.00,0.02,,,,,,,,
"LR",1999,214,1999-08-02,6.00,1,1,,,,,,,0.19,0.08,,,,,,,,
"LR",1999,214,1999-08-02,9.00,1,1,,,,,,,2.20,0.16,,,,,,,,
"LR",1999,214,1999-08-02,0.00,1,2,,,,,,,0.00,0.02,,,,,,,,
"LR",1999,214,1999-08-02,4.00,1,2,,,,,,,0.02,0.02,,,,,,,,
"LR",1999,214,1999-08-02,6.00,1,2,,,,,,,4.37,0.34,,,,,,,"E","E"
"LR",1999,214,1999-08-02,6.00,2,1,,,,,,,0.26,0.09,,,,,,,,
"LR",1999,242,1999-08-30,0.00,1,1,0.17,2.15,0.96,0.28,0.16,0.69,0.02,0.02,,,"E","E","E","E","E","E"
"LR",1999,242,1999-08-30,4.00,1,1,0.14,2.24,1.04,0.28,0.19,0.70,0.02,0.01,,,,,,,,
"LR",1999,242,1999-08-30,6.00,1,1,0.18,1.71,1.04,0.32,0.17,0.75,0.14,0.08,"E","E",,,,,,
"LR",1999,242,1999-08-30,9.00,1,1,0.20,0.98,2.40,0.37,0.29,1.07,3.47,0.17,,,,,,,,
"LR",1999,242,1999-08-30,0.00,1,2,0.20,1.52,0.77,0.27,0.20,0.58,0.03,0.02,,,,,,,,
"LR",1999,242,1999-08-30,4.00,1,2,0.40,1.50,0.93,0.28,0.23,0.61,0.04,0.02,"E","E",,,,,,
"LR",1999,242,1999-08-30,6.00,1,2,0.55,1.20,3.71,0.50,0.33,1.22,8.11,0.46,,,,,,,,
"LR",1999,242,1999-08-30,4.00,2,1,0.13,2.14,1.03,0.28,0.16,0.69,0.07,0.02,,,,,,,,
"LR",1999,270,1999-09-27,0.00,1,1,,,,,,,0.00,0.03,,,,,,,,
"LR",1999,270,1999-09-27,6.00,1,1,,,,,,,0.07,0.03,,,,,,,,
"LR",1999,270,1999-09-27,8.00,1,1,,,,,,,4.86,0.21,,,,,,,,
"LR",1999,270,1999-09-27,9.00,1,1,,,,,,,5.42,0.21,,,,,,,,
"LR",1999,270,1999-09-27,0.00,1,2,,,,,,,0.00,0.01,,,,,,,,
"LR",1999,270,1999-09-27,4.00,1,2,,,,,,,0.00,0.02,,,,,,,,
"LR",1999,270,1999-09-27,6.00,1,2,,,,,,,0.00,0.02,,,,,,,,
"LR",1999,270,1999-09-27,0.00,2,1,,,,,,,0.00,0.02,,,,,,,,
"LR",1999,298,1999-10-25,0.00,1,1,0.16,2.39,0.95,0.28,0.14,0.66,0.10,0.02,"E","E",,,,,,
"LR",1999,298,1999-10-25,4.00,1,1,0.13,2.44,0.96,0.28,0.16,0.66,0.08,0.02,,,,,,,,
"LR",1999,298,1999-10-25,9.00,1,1,0.18,2.61,0.97,0.28,0.14,0.65,0.09,0.02,,,,,,,,
"LR",1999,298,1999-10-25,0.00,1,2,0.19,1.77,0.83,0.27,0.19,0.54,0.00,0.01,,,"E","E","E","E",,
"LR",1999,298,1999-10-25,4.00,1,2,0.20,1.70,0.86,0.27,0.19,0.53,0.00,0.01,"E","E",,,,,"E","E"
"LR",1999,298,1999-10-25,6.00,1,2,0.24,1.76,0.86,0.27,0.19,0.54,0.00,0.01,,,"E","E","E","E",,
"LR",1999,298,1999-10-25,0.00,2,2,0.19,1.79,0.87,0.27,0.21,0.53,0.00,0.01,,,,,,,,
