lakeid,year4,daynum,sampledate,sta,secview,secnview,timeon,timeoff,airtemp,windir,windspd,waveht,cloud
"LR",1999,200,1999-07-19,1,3.100,3.100,1044,1145,25.300,"N  ",3,2,40
"LR",1999,200,1999-07-19,2,3.700,3.600,943,1032,23.400,"E  ",3,2,75
"LR",1999,214,1999-08-02,1,4.300,4.100,1029,1304,18.300,"S  ",10,4,65
"LR",1999,214,1999-08-02,2,3.100,2.900,1318,1438,19.100,"E  ",8,3,30
"LR",1999,225,1999-08-13,1,3.200,3.200,1136,1231,13.300,"N  ",18,8,100
"LR",1999,225,1999-08-13,2,2.900,2.800,958,1050,13.700,"NW ",18,5,100
"LR",1999,242,1999-08-30,1,4.000,4.000,956,1146,17.100,"W  ",13,4,50
"LR",1999,242,1999-08-30,2,4.300,4.200,1201,1322,17.800,"NW ",13,3,65
"LR",1999,256,1999-09-13,1,4.100,3.800,1049,1142,11.400,"NW ",18,4,100
"LR",1999,256,1999-09-13,2,2.900,2.900,946,1036,11.600,"N  ",18,4,100
"LR",1999,270,1999-09-27,1,4.600,4.500,951,1126,12.100,"W  ",8,1,95
"LR",1999,270,1999-09-27,2,3.000,3.000,1138,1239,13.900,"NW ",8,3,60
"LR",1999,284,1999-10-11,1,5.200,5.100,1012,1120,12.100,,0,0,25
"LR",1999,284,1999-10-11,2,4.400,4.400,1131,1208,12.600,"N  ",3,1,25
"LR",1999,298,1999-10-25,1,5.100,4.800,1141,1320,10.600,"N  ",13,3,50
"LR",1999,298,1999-10-25,2,3.600,3.500,953,1126,7.500,"N  ",13,3,80
