"new_name","year4","n_obs","avg_conc","sd_conc","cv_conc"
"Asplanchna sp.",1984,13,3.83153846153846,4.94538816500425,1.29070560419705
"Asplanchna sp.",1985,19,4.77421052631579,4.7156386580416,0.98773161176045
"Asplanchna sp.",1986,14,4.39428571428571,5.2403005114735,1.19252612419748
"Asplanchna sp.",1987,14,4.84928571428571,4.78502064023474,0.986747517503114
"Asplanchna sp.",1988,12,2.43333333333333,2.97009131580873,1.22058547225016
"Asplanchna sp.",1989,8,8.265,13.9471277124923,1.68749276618177
"Asplanchna sp.",1990,12,3.85666666666667,5.45965089349016,1.41563981680817
"Asplanchna sp.",1991,15,2.83,3.00496969321537,1.06182674671921
"Asplanchna sp.",1992,3,14.21,17.0032085207469,1.19656639836361
"Asplanchna sp.",1993,3,3.44333333333333,4.57525226991183,1.3287276679318
"Asplanchna sp.",1994,7,2.85428571428571,3.10365836362433,1.08736779506358
"Asplanchna sp.",1995,5,62.25,132.850154873828,2.13413903411771
"Asplanchna sp.",1996,3,6.3,5.14198405287298,0.816187944900472
"Asplanchna sp.",1997,6,11.7333333333333,16.2153836422906,1.38199292405886
"Asplanchna sp.",1998,3,4.3,5.46717477313466,1.27143599375225
"Asplanchna sp.",1999,5,13.18,20.6493825573551,1.56672098310737
"Asplanchna sp.",2000,8,21.35,17.9793532380101,0.842124273443094
"Bosmina longirostris",1983,4,4.53,1.86130778396983,0.410884720523141
"Bosmina longirostris",1984,14,3.13785714285714,2.40419562294889,0.766190273646356
"Bosmina longirostris",1985,21,4.03142857142857,3.32626860868795,0.825084346591624
"Bosmina longirostris",1986,20,3.3275,2.33744771965177,0.702463627243207
"Bosmina longirostris",1987,20,6.3655,6.08614083497563,0.956113555097892
"Bosmina longirostris",1988,18,5.06555555555556,6.13636242336204,1.21138981816755
"Bosmina longirostris",1989,18,2.16,1.88160757301397,0.871114617136098
"Bosmina longirostris",1990,19,3.35052631578947,4.34017725404058,1.29537178490058
"Bosmina longirostris",1991,15,7.66466666666667,12.4606316433952,1.6257238814554
"Bosmina longirostris",1992,14,3.52285714285714,2.97201933053924,0.843638901612922
"Bosmina longirostris",1993,11,1.97,2.9932524116753,1.51941746785548
"Bosmina longirostris",1994,16,8.781875,12.0060369363361,1.3671382177879
"Bosmina longirostris",1995,13,5.99,8.10750680953563,1.35350697988909
"Bosmina longirostris",1996,11,3.43272727272727,4.14139611944834,1.20644484411896
"Bosmina longirostris",1997,10,6.07,5.3208290916193,0.876578104055897
"Bosmina longirostris",1998,14,15.2714285714286,20.5178507110808,1.34354494834018
"Bosmina longirostris",1999,13,6.36923076923077,6.23583523079636,0.979056256042906
"Bosmina longirostris",2000,9,7.77777777777778,9.59319782160487,1.23341114849205
"Conochiloides sp.",1983,1,0.69,NA,NA
"Conochiloides sp.",1984,11,1.95272727272727,2.85304430708354,1.46105620940032
"Conochiloides sp.",1985,12,1.15416666666667,1.14084066558062,0.988454006279235
"Conochiloides sp.",1986,11,2.63636363636364,4.73513732161438,1.79608657026753
"Conochiloides sp.",1987,13,35.0330769230769,48.1252637022412,1.37370930357933
"Conochiloides sp.",1988,8,4.56625,8.08754763730726,1.77115743494274
"Conochiloides sp.",1989,9,14.7011111111111,25.0971693844368,1.70716139717278
"Conochiloides sp.",1990,9,3.45,5.60089948133333,1.62344912502415
"Conochiloides sp.",1991,13,2.09615384615385,2.93284997474453,1.39915778611665
"Conochiloides sp.",1992,9,14.8844444444444,36.0508013472347,2.42204547719552
"Conochiloides sp.",1993,5,3.77,4.71934847198212,1.25181657081754
"Conochiloides sp.",1994,6,1.95166666666667,2.02688348620898,1.03853978798069
"Conochiloides sp.",1995,7,0.887142857142857,0.58693311049086,0.661599319393884
"Conochiloides sp.",1996,5,5.02,5.62912071286449,1.1213387874232
"Conochiloides sp.",1997,11,37.6,59.2925965024302,1.57693075804336
"Conochiloides sp.",1998,6,2.9,1.82428068015862,0.629062303502973
"Conochiloides sp.",1999,3,1.26666666666667,0.404145188432738,0.319061990867951
"Conochiloides sp.",2000,8,3.7125,2.42512886255555,0.653233363651328
"Conochiloides sp.",2007,1,1.7,NA,NA
"Conochilus unicornis",1983,4,13.6725,18.2647280753552,1.33587332787385
"Conochilus unicornis",1984,12,94.045,111.831282783892,1.1891252356201
"Conochilus unicornis",1985,21,48.4780952380952,102.883568251643,2.12226919697114
"Conochilus unicornis",1986,18,47.4161111111111,85.6221082732924,1.80575982017278
"Conochilus unicornis",1987,19,53.8010526315789,92.8455461682188,1.72571988143077
"Conochilus unicornis",1988,17,37.6435294117647,57.1467197156994,1.51810206451681
"Conochilus unicornis",1989,17,26.1852941176471,50.1557969129251,1.91541850504263
"Conochilus unicornis",1990,19,34.5273684210526,72.0638853026416,2.08715255746805
"Conochilus unicornis",1991,16,32.200625,75.2093375823995,2.33564837894915
"Conochilus unicornis",1992,11,15.0381818181818,16.5442550863929,1.10014995738316
"Conochilus unicornis",1993,9,17.2588888888889,26.8528980951984,1.55588799882048
"Conochilus unicornis",1994,12,46.355,84.4968616415588,1.82282087458869
"Conochilus unicornis",1995,10,54.313,87.8269882654402,1.6170527915129
"Conochilus unicornis",1996,6,7.825,5.05449403996087,0.645941730346438
"Conochilus unicornis",1997,9,17.8333333333333,21.4942434153892,1.20528467749846
"Conochilus unicornis",1998,6,31.7,34.0455577131584,1.07399235688197
"Conochilus unicornis",1999,9,8.48888888888889,9.88514598329792,1.1644805477707
"Conochilus unicornis",2000,15,14.72,14.296163321475,0.971206747382809
